"key";"en"
"TPHT_0001_PROMPT";"Can you clap in time with a musical beat?"
"TPHT_0001_CHOICES1";"Never"
"TPHT_0001_CHOICES2";"Rarely"
"TPHT_0001_CHOICES3";"Once in a while"
"TPHT_0001_CHOICES4";"Sometimes"
"TPHT_0001_CHOICES5";"Very often"
"TPHT_0001_CHOICES6";"Always"
"TPHT_0002_PROMPT";"I can tap my foot in time with the beat of the music I hear."
"TPHT_0002_CHOICES1";"Never"
"TPHT_0002_CHOICES2";"Rarely"
"TPHT_0002_CHOICES3";"Once in a while"
"TPHT_0002_CHOICES4";"Sometimes"
"TPHT_0002_CHOICES5";"Very often"
"TPHT_0002_CHOICES6";"Always"
"TPHT_0003_PROMPT";"When listening to music, can you move in time with the beat?"
"TPHT_0003_CHOICES1";"Never"
"TPHT_0003_CHOICES2";"Rarely"
"TPHT_0003_CHOICES3";"Once in a while"
"TPHT_0003_CHOICES4";"Sometimes"
"TPHT_0003_CHOICES5";"Very often"
"TPHT_0003_CHOICES6";"Always"
"TPHT_0004_PROMPT";"I can recognise a piece of music after hearing just a few notes"
"TPHT_0004_CHOICES1";"Never"
"TPHT_0004_CHOICES2";"Rarely"
"TPHT_0004_CHOICES3";"Once in a while"
"TPHT_0004_CHOICES4";"Sometimes"
"TPHT_0004_CHOICES5";"Very often"
"TPHT_0004_CHOICES6";"Always"
"TPHT_0005_PROMPT";"I can easily recognise a familiar song"
"TPHT_0005_CHOICES1";"Never"
"TPHT_0005_CHOICES2";"Rarely"
"TPHT_0005_CHOICES3";"Once in a while"
"TPHT_0005_CHOICES4";"Sometimes"
"TPHT_0005_CHOICES5";"Very often"
"TPHT_0005_CHOICES6";"Always"
"TPHT_0006_PROMPT";"When I hear the beginning of a song I know immediately whether I've heard it before or not"
"TPHT_0006_CHOICES1";"Never"
"TPHT_0006_CHOICES2";"Rarely"
"TPHT_0006_CHOICES3";"Once in a while"
"TPHT_0006_CHOICES4";"Sometimes"
"TPHT_0006_CHOICES5";"Very often"
"TPHT_0006_CHOICES6";"Always"
"TPHT_0007_PROMPT";"I can tell when people sing out of tune"
"TPHT_0007_CHOICES1";"Never"
"TPHT_0007_CHOICES2";"Rarely"
"TPHT_0007_CHOICES3";"Once in a while"
"TPHT_0007_CHOICES4";"Sometimes"
"TPHT_0007_CHOICES5";"Very often"
"TPHT_0007_CHOICES6";"Always"
"TPHT_0008_PROMPT";"I am able to judge whether someone is a good singer or not"
"TPHT_0008_CHOICES1";"Never"
"TPHT_0008_CHOICES2";"Rarely"
"TPHT_0008_CHOICES3";"Once in a while"
"TPHT_0008_CHOICES4";"Sometimes"
"TPHT_0008_CHOICES5";"Very often"
"TPHT_0008_CHOICES6";"Always"
"TPHT_0009_PROMPT";"I find it difficult to spot mistakes in a performance of a song even if I know the tune"
"TPHT_0009_CHOICES1";"Never"
"TPHT_0009_CHOICES2";"Rarely"
"TPHT_0009_CHOICES3";"Once in a while"
"TPHT_0009_CHOICES4";"Sometimes"
"TPHT_0009_CHOICES5";"Very often"
"TPHT_0009_CHOICES6";"Always"
"TPHT_0010_PROMPT";"I feel chills when I hear music that I like."
"TPHT_0010_CHOICES1";"Never"
"TPHT_0010_CHOICES2";"Rarely"
"TPHT_0010_CHOICES3";"Once in a while"
"TPHT_0010_CHOICES4";"Sometimes"
"TPHT_0010_CHOICES5";"Very often"
"TPHT_0010_CHOICES6";"Always"
"TPHT_0011_PROMPT";"I get emotional listening to certain pieces of music."
"TPHT_0011_CHOICES1";"Never"
"TPHT_0011_CHOICES2";"Rarely"
"TPHT_0011_CHOICES3";"Once in a while"
"TPHT_0011_CHOICES4";"Sometimes"
"TPHT_0011_CHOICES5";"Very often"
"TPHT_0011_CHOICES6";"Always"
"TPHT_0012_PROMPT";"I become tearful or cry when I listen to a melody that I like very much."
"TPHT_0012_CHOICES1";"Never"
"TPHT_0012_CHOICES2";"Rarely"
"TPHT_0012_CHOICES3";"Once in a while"
"TPHT_0012_CHOICES4";"Sometimes"
"TPHT_0012_CHOICES5";"Very often"
"TPHT_0012_CHOICES6";"Always"
"TPHT_0013_PROMPT";"Music gives me shivers or goosebumps"
"TPHT_0013_CHOICES1";"Never"
"TPHT_0013_CHOICES2";"Rarely"
"TPHT_0013_CHOICES3";"Once in a while"
"TPHT_0013_CHOICES4";"Sometimes"
"TPHT_0013_CHOICES5";"Very often"
"TPHT_0013_CHOICES6";"Always"
"TPHT_0014_PROMPT";"When I listen to music I'm absorbed by it"
"TPHT_0014_CHOICES1";"Never"
"TPHT_0014_CHOICES2";"Rarely"
"TPHT_0014_CHOICES3";"Once in a while"
"TPHT_0014_CHOICES4";"Sometimes"
"TPHT_0014_CHOICES5";"Very often"
"TPHT_0014_CHOICES6";"Always"
"TPHT_0015_PROMPT";"While listening to music, I become so involved that I forget about myself and my surroundings"
"TPHT_0015_CHOICES1";"Never"
"TPHT_0015_CHOICES2";"Rarely"
"TPHT_0015_CHOICES3";"Once in a while"
"TPHT_0015_CHOICES4";"Sometimes"
"TPHT_0015_CHOICES5";"Very often"
"TPHT_0015_CHOICES6";"Always"
"TPHT_0016_PROMPT";"When I listen to music I get so caught up in it that I don't notice anything"
"TPHT_0016_CHOICES1";"Never"
"TPHT_0016_CHOICES2";"Rarely"
"TPHT_0016_CHOICES3";"Once in a while"
"TPHT_0016_CHOICES4";"Sometimes"
"TPHT_0016_CHOICES5";"Very often"
"TPHT_0016_CHOICES6";"Always"
"TPHT_0017_PROMPT";"I feel like I am \"one\" with the music"
"TPHT_0017_CHOICES1";"Never"
"TPHT_0017_CHOICES2";"Rarely"
"TPHT_0017_CHOICES3";"Once in a while"
"TPHT_0017_CHOICES4";"Sometimes"
"TPHT_0017_CHOICES5";"Very often"
"TPHT_0017_CHOICES6";"Always"
"TPHT_0018_PROMPT";"I lose myself in music"
"TPHT_0018_CHOICES1";"Never"
"TPHT_0018_CHOICES2";"Rarely"
"TPHT_0018_CHOICES3";"Once in a while"
"TPHT_0018_CHOICES4";"Sometimes"
"TPHT_0018_CHOICES5";"Very often"
"TPHT_0018_CHOICES6";"Always"
"TPHT_0019_PROMPT";"I like listening to music"
"TPHT_0019_CHOICES1";"Never"
"TPHT_0019_CHOICES2";"Rarely"
"TPHT_0019_CHOICES3";"Once in a while"
"TPHT_0019_CHOICES4";"Sometimes"
"TPHT_0019_CHOICES5";"Very often"
"TPHT_0019_CHOICES6";"Always"
"TPHT_0020_PROMPT";"I enjoy music"
"TPHT_0020_CHOICES1";"Never"
"TPHT_0020_CHOICES2";"Rarely"
"TPHT_0020_CHOICES3";"Once in a while"
"TPHT_0020_CHOICES4";"Sometimes"
"TPHT_0020_CHOICES5";"Very often"
"TPHT_0020_CHOICES6";"Always"
"TPHT_0021_PROMPT";"I listen to music for pleasure"
"TPHT_0021_CHOICES1";"Never"
"TPHT_0021_CHOICES2";"Rarely"
"TPHT_0021_CHOICES3";"Once in a while"
"TPHT_0021_CHOICES4";"Sometimes"
"TPHT_0021_CHOICES5";"Very often"
"TPHT_0021_CHOICES6";"Always"
"TPHT_0022_PROMPT";"Music is kind of an addiction for me - I couldn't live without it."
"TPHT_0022_CHOICES1";"Never"
"TPHT_0022_CHOICES2";"Rarely"
"TPHT_0022_CHOICES3";"Once in a while"
"TPHT_0022_CHOICES4";"Sometimes"
"TPHT_0022_CHOICES5";"Very often"
"TPHT_0022_CHOICES6";"Always"
"TPHT_0023_PROMPT";"I can tell when people sing or play out of time with the beat of the music."
"TPHT_0023_CHOICES1";"Never"
"TPHT_0023_CHOICES2";"Rarely"
"TPHT_0023_CHOICES3";"Once in a while"
"TPHT_0023_CHOICES4";"Sometimes"
"TPHT_0023_CHOICES5";"Very often"
"TPHT_0023_CHOICES6";"Always"
"TPHT_0024_PROMPT";"I can hear when people are not in sync when they play a song."
"TPHT_0024_CHOICES1";"Never"
"TPHT_0024_CHOICES2";"Rarely"
"TPHT_0024_CHOICES3";"Once in a while"
"TPHT_0024_CHOICES4";"Sometimes"
"TPHT_0024_CHOICES5";"Very often"
"TPHT_0024_CHOICES6";"Always"
"TPHT_0025_PROMPT";"I can tell when music is sung or played in time with the beat"
"TPHT_0025_CHOICES1";"Never"
"TPHT_0025_CHOICES2";"Rarely"
"TPHT_0025_CHOICES3";"Once in a while"
"TPHT_0025_CHOICES4";"Sometimes"
"TPHT_0025_CHOICES5";"Very often"
"TPHT_0025_CHOICES6";"Always"
"TPHT_0026_PROMPT";"I can sing or play a song from memory"
"TPHT_0026_CHOICES1";"Never"
"TPHT_0026_CHOICES2";"Rarely"
"TPHT_0026_CHOICES3";"Once in a while"
"TPHT_0026_CHOICES4";"Sometimes"
"TPHT_0026_CHOICES5";"Very often"
"TPHT_0026_CHOICES6";"Always"
"TPHT_0027_PROMPT";"Singing or playing music from memory is easy for me."
"TPHT_0027_CHOICES1";"Never"
"TPHT_0027_CHOICES2";"Rarely"
"TPHT_0027_CHOICES3";"Once in a while"
"TPHT_0027_CHOICES4";"Sometimes"
"TPHT_0027_CHOICES5";"Very often"
"TPHT_0027_CHOICES6";"Always"
"TPHT_0028_PROMPT";"I find it hard to sing or play a song from memory"
"TPHT_0028_CHOICES1";"Never"
"TPHT_0028_CHOICES2";"Rarely"
"TPHT_0028_CHOICES3";"Once in a while"
"TPHT_0028_CHOICES4";"Sometimes"
"TPHT_0028_CHOICES5";"Very often"
"TPHT_0028_CHOICES6";"Always"
"TPHT_0029_PROMPT";"When I sing, I have no idea whether I'm in tune or not"
"TPHT_0029_CHOICES1";"Never"
"TPHT_0029_CHOICES2";"Rarely"
"TPHT_0029_CHOICES3";"Once in a while"
"TPHT_0029_CHOICES4";"Sometimes"
"TPHT_0029_CHOICES5";"Very often"
"TPHT_0029_CHOICES6";"Always"
"TPHT_0030_PROMPT";"I am able to hit the right notes when I sing along with a recording"
"TPHT_0030_CHOICES1";"Never"
"TPHT_0030_CHOICES2";"Rarely"
"TPHT_0030_CHOICES3";"Once in a while"
"TPHT_0030_CHOICES4";"Sometimes"
"TPHT_0030_CHOICES5";"Very often"
"TPHT_0030_CHOICES6";"Always"
"TPHT_0031_PROMPT";"I can sing along with other people"
"TPHT_0031_CHOICES1";"Never"
"TPHT_0031_CHOICES2";"Rarely"
"TPHT_0031_CHOICES3";"Once in a while"
"TPHT_0031_CHOICES4";"Sometimes"
"TPHT_0031_CHOICES5";"Very often"
"TPHT_0031_CHOICES6";"Always"
"TPHT_0032_PROMPT";"I have no sense for rhythm (when I listen, play or dance to music)"
"TPHT_0032_CHOICES1";"Never"
"TPHT_0032_CHOICES2";"Rarely"
"TPHT_0032_CHOICES3";"Once in a while"
"TPHT_0032_CHOICES4";"Sometimes"
"TPHT_0032_CHOICES5";"Very often"
"TPHT_0032_CHOICES6";"Always"
"TPHT_0033_PROMPT";"Understanding the rhythm of a piece is easy for me (when I listen, play or dance to music)"
"TPHT_0033_CHOICES1";"Never"
"TPHT_0033_CHOICES2";"Rarely"
"TPHT_0033_CHOICES3";"Once in a while"
"TPHT_0033_CHOICES4";"Sometimes"
"TPHT_0033_CHOICES5";"Very often"
"TPHT_0033_CHOICES6";"Always"
"TPHT_0034_PROMPT";"I have a good sense of rhythm (when I listen, play, or dance to music)"
"TPHT_0034_CHOICES1";"Never"
"TPHT_0034_CHOICES2";"Rarely"
"TPHT_0034_CHOICES3";"Once in a while"
"TPHT_0034_CHOICES4";"Sometimes"
"TPHT_0034_CHOICES5";"Very often"
"TPHT_0034_CHOICES6";"Always"
"TPHT_0035_PROMPT";"Do you have absolute pitch? Absolute pitch is the ability to recognise and name an isolated musical tone without a reference tone, e.g. being able to say 'F#' if someone plays that note on the piano."
"TPHT_0035_CHOICES1";"Never"
"TPHT_0035_CHOICES2";"Rarely"
"TPHT_0035_CHOICES3";"Once in a while"
"TPHT_0035_CHOICES4";"Sometimes"
"TPHT_0035_CHOICES5";"Very often"
"TPHT_0035_CHOICES6";"Always"
"TPHT_0036_PROMPT";"Do you have perfect pitch?"
"TPHT_0036_CHOICES1";"Never"
"TPHT_0036_CHOICES2";"Rarely"
"TPHT_0036_CHOICES3";"Once in a while"
"TPHT_0036_CHOICES4";"Sometimes"
"TPHT_0036_CHOICES5";"Very often"
"TPHT_0036_CHOICES6";"Always"
"TPHT_0037_PROMPT";"If someone plays a note on an instrument and you can't see what note it is, can you still name it (e.g. say that is a 'C' or an 'F')?"
"TPHT_0037_CHOICES1";"Never"
"TPHT_0037_CHOICES2";"Rarely"
"TPHT_0037_CHOICES3";"Once in a while"
"TPHT_0037_CHOICES4";"Sometimes"
"TPHT_0037_CHOICES5";"Very often"
"TPHT_0037_CHOICES6";"Always"
"TPHT_0038_PROMPT";"Can you hear the difference between two melodies?"
"TPHT_0038_CHOICES1";"Never"
"TPHT_0038_CHOICES2";"Rarely"
"TPHT_0038_CHOICES3";"Once in a while"
"TPHT_0038_CHOICES4";"Sometimes"
"TPHT_0038_CHOICES5";"Very often"
"TPHT_0038_CHOICES6";"Always"
"TPHT_0039_PROMPT";"I can recognise differences between melodies even if they are similar"
"TPHT_0039_CHOICES1";"Never"
"TPHT_0039_CHOICES2";"Rarely"
"TPHT_0039_CHOICES3";"Once in a while"
"TPHT_0039_CHOICES4";"Sometimes"
"TPHT_0039_CHOICES5";"Very often"
"TPHT_0039_CHOICES6";"Always"
"TPHT_0040_PROMPT";"I can tell when two melodies are the same or different"
"TPHT_0040_CHOICES1";"Never"
"TPHT_0040_CHOICES2";"Rarely"
"TPHT_0040_CHOICES3";"Once in a while"
"TPHT_0040_CHOICES4";"Sometimes"
"TPHT_0040_CHOICES5";"Very often"
"TPHT_0040_CHOICES6";"Always"
"TPHT_0041_PROMPT";"I make up new melodies in my mind"
"TPHT_0041_CHOICES1";"Never"
"TPHT_0041_CHOICES2";"Rarely"
"TPHT_0041_CHOICES3";"Once in a while"
"TPHT_0041_CHOICES4";"Sometimes"
"TPHT_0041_CHOICES5";"Very often"
"TPHT_0041_CHOICES6";"Always"
"TPHT_0042_PROMPT";"I make up songs, even when I'm just singing to myself"
"TPHT_0042_CHOICES1";"Never"
"TPHT_0042_CHOICES2";"Rarely"
"TPHT_0042_CHOICES3";"Once in a while"
"TPHT_0042_CHOICES4";"Sometimes"
"TPHT_0042_CHOICES5";"Very often"
"TPHT_0042_CHOICES6";"Always"
"TPHT_0043_PROMPT";"I like to play around with new melodies that come to my mind."
"TPHT_0043_CHOICES1";"Never"
"TPHT_0043_CHOICES2";"Rarely"
"TPHT_0043_CHOICES3";"Once in a while"
"TPHT_0043_CHOICES4";"Sometimes"
"TPHT_0043_CHOICES5";"Very often"
"TPHT_0043_CHOICES6";"Always"
"TPHT_0044_PROMPT";"I have a melody stuck in my mind"
"TPHT_0044_CHOICES1";"Never"
"TPHT_0044_CHOICES2";"Rarely"
"TPHT_0044_CHOICES3";"Once in a while"
"TPHT_0044_CHOICES4";"Sometimes"
"TPHT_0044_CHOICES5";"Very often"
"TPHT_0044_CHOICES6";"Always"
"TPHT_0045_PROMPT";"I experience earworms"
"TPHT_0045_CHOICES1";"Never"
"TPHT_0045_CHOICES2";"Rarely"
"TPHT_0045_CHOICES3";"Once in a while"
"TPHT_0045_CHOICES4";"Sometimes"
"TPHT_0045_CHOICES5";"Very often"
"TPHT_0045_CHOICES6";"Always"
"TPHT_0046_PROMPT";"I get music stuck in my head"
"TPHT_0046_CHOICES1";"Never"
"TPHT_0046_CHOICES2";"Rarely"
"TPHT_0046_CHOICES3";"Once in a while"
"TPHT_0046_CHOICES4";"Sometimes"
"TPHT_0046_CHOICES5";"Very often"
"TPHT_0046_CHOICES6";"Always"
"TPHT_0047_PROMPT";"I have a piece of music stuck on repeat in my head"
"TPHT_0047_CHOICES1";"Never"
"TPHT_0047_CHOICES2";"Rarely"
"TPHT_0047_CHOICES3";"Once in a while"
"TPHT_0047_CHOICES4";"Sometimes"
"TPHT_0047_CHOICES5";"Very often"
"TPHT_0047_CHOICES6";"Always"
"TPHT_0048_PROMPT";"Music makes me dance."
"TPHT_0048_CHOICES1";"Never"
"TPHT_0048_CHOICES2";"Rarely"
"TPHT_0048_CHOICES3";"Once in a while"
"TPHT_0048_CHOICES4";"Sometimes"
"TPHT_0048_CHOICES5";"Very often"
"TPHT_0048_CHOICES6";"Always"
"TPHT_0049_PROMPT";"I don't like to dance, not even with music I like"
"TPHT_0049_CHOICES1";"Never"
"TPHT_0049_CHOICES2";"Rarely"
"TPHT_0049_CHOICES3";"Once in a while"
"TPHT_0049_CHOICES4";"Sometimes"
"TPHT_0049_CHOICES5";"Very often"
"TPHT_0049_CHOICES6";"Always"
"TPHT_0050_PROMPT";"I can dance to a beat"
"TPHT_0050_CHOICES1";"Never"
"TPHT_0050_CHOICES2";"Rarely"
"TPHT_0050_CHOICES3";"Once in a while"
"TPHT_0050_CHOICES4";"Sometimes"
"TPHT_0050_CHOICES5";"Very often"
"TPHT_0050_CHOICES6";"Always"
"TPHT_0051_PROMPT";"I easily get into a groove when listening to music"
"TPHT_0051_CHOICES1";"Never"
"TPHT_0051_CHOICES2";"Rarely"
"TPHT_0051_CHOICES3";"Once in a while"
"TPHT_0051_CHOICES4";"Sometimes"
"TPHT_0051_CHOICES5";"Very often"
"TPHT_0051_CHOICES6";"Always"
"TPHT_0052_PROMPT";"Can you hear the difference between two rhythms?"
"TPHT_0052_CHOICES1";"Never"
"TPHT_0052_CHOICES2";"Rarely"
"TPHT_0052_CHOICES3";"Once in a while"
"TPHT_0052_CHOICES4";"Sometimes"
"TPHT_0052_CHOICES5";"Very often"
"TPHT_0052_CHOICES6";"Always"
"TPHT_0053_PROMPT";"I can tell when two rhythms are the same or different"
"TPHT_0053_CHOICES1";"Never"
"TPHT_0053_CHOICES2";"Rarely"
"TPHT_0053_CHOICES3";"Once in a while"
"TPHT_0053_CHOICES4";"Sometimes"
"TPHT_0053_CHOICES5";"Very often"
"TPHT_0053_CHOICES6";"Always"
"TPHT_0054_PROMPT";"I can recognise differences between rhythms even if they are similar"
"TPHT_0054_CHOICES1";"Never"
"TPHT_0054_CHOICES2";"Rarely"
"TPHT_0054_CHOICES3";"Once in a while"
"TPHT_0054_CHOICES4";"Sometimes"
"TPHT_0054_CHOICES5";"Very often"
"TPHT_0054_CHOICES6";"Always"
"TPHT_0055_PROMPT";"I can't help humming or singing along to music that I like."
"TPHT_0055_CHOICES1";"Never"
"TPHT_0055_CHOICES2";"Rarely"
"TPHT_0055_CHOICES3";"Once in a while"
"TPHT_0055_CHOICES4";"Sometimes"
"TPHT_0055_CHOICES5";"Very often"
"TPHT_0055_CHOICES6";"Always"
"TPHT_0056_PROMPT";"When I hear a tune I like a lot I can't help tapping or moving to its beat"
"TPHT_0056_CHOICES1";"Never"
"TPHT_0056_CHOICES2";"Rarely"
"TPHT_0056_CHOICES3";"Once in a while"
"TPHT_0056_CHOICES4";"Sometimes"
"TPHT_0056_CHOICES5";"Very often"
"TPHT_0056_CHOICES6";"Always"
"TPHT_0057_PROMPT";"Hearing good music makes me want to sing along."
"TPHT_0057_CHOICES1";"Never"
"TPHT_0057_CHOICES2";"Rarely"
"TPHT_0057_CHOICES3";"Once in a while"
"TPHT_0057_CHOICES4";"Sometimes"
"TPHT_0057_CHOICES5";"Very often"
"TPHT_0057_CHOICES6";"Always"
