key;de;en;de_f;it;es
TCRT_0000_PROMPT;Fragebogen Kognitive Reflektion;Cognitive Reflection Test;Fragebogen Kognitive Reflektion;Cognitive Reflection Test;Cognitive Reflection Test
TCRT_0002_PROMPT;Ein Schläger und ein Ball kosten insgesamt 1,10 Euro. Der Schläger kostet einen Euro mehr als der Ball. Wie hoch ist der Preis des Balls? ;A bat and a ball cost $1.10 in total. The bat costs a dollar more than the ball. How much does the ball cost? ;Ein Schläger und ein Ball kosten insgesamt 1,10 Euro. Der Schläger kostet einen Euro mehr als der Ball. Wie hoch ist der Preis des Balls? ;A bat and a ball cost $1.10 in total. The bat costs a dollar more than the ball. How much does the ball cost? ;A bat and a ball cost $1.10 in total. The bat costs a dollar more than the ball. How much does the ball cost? 
TCRT_0002_CHOICE1;cents;cents;cents;cents;cents
TCRT_0003_PROMPT;Wenn 5 Maschinen 5 Minuten brauchen, um 5 Dingsbumse herzustellen, wie lange würden dann 100 Maschinen brauchen, um 100 Dingsbumse herzustellen? ;If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? ;Wenn 5 Maschinen 5 Minuten brauchen, um 5 Dingsbumse herzustellen, wie lange würden dann 100 Maschinen brauchen, um 100 Dingsbumse herzustellen? ;If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? ;If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? 
TCRT_0003_CHOICE1;Minuten;minutes;Minuten;minutes;minutes
TCRT_0004_PROMPT;In einem See gibt es einen Fläche mit Seerosenblättern. Jeden Tag verdoppelt sich die Größe der Fläche. Wenn es 48 Tage dauert, bis die Seerosen den ganzen See bedecken, wie lange würde es dann dauern, bis die Seerosen die Hälfte des Sees bedecken? ;In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? ;In einem See gibt es einen Fläche mit Seerosenblättern. Jeden Tag verdoppelt sich die Größe der Fläche. Wenn es 48 Tage dauert, bis die Seerosen den ganzen See bedecken, wie lange würde es dann dauern, bis die Seerosen die Hälfte des Sees bedecken? ;In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? ;sing or play melodies on instruments
TCRT_0004_CHOICE1;Tage;days;Tage;days;days
TCRT_0005_PROMPT;Ist dir eines dieser drei Probleme schon einmal begegnet? ;Have you ever come across any of these three problems before today? ;Ist Ihnen eines dieser drei Probleme schon einmal begegnet? ;Have you ever come across any of these three problems before today? ;Have you ever come across any of these three problems before today? 
TCRT_0005_CHOICE1;Ja;Yes;Ja;Yes;Yes
TCRT_0005_CHOICE2;Nein;No;Nein;No;No
TCRT_0005_CHOICE3;Weiß nicht;I don’t know;Weiß nicht;I don’t know;I don’t know
TCRT_0006_PROMPT;Welches der drei Probleme ist dir heute schon einmal begegnet? [Wähle alle zutreffenden aus];Which of the three problems have you come across before today? [Select all that apply];Welches der drei Probleme ist Ihnen heute schon einmal begegnet? [Wählen Sie alle zutreffenden aus];Which of the three problems have you come across before today? [Select all that apply];Which of the three problems have you come across before today? [Select all that apply]
TCRT_0006_CHOICE1;Aufgabe 1 - SCHLÄGER UND BALL;Problem 1 - BAT AND BALL;Aufgabe 1 - SCHLÄGER UND BALL;Problem 1 - BAT AND BALL;Problem 1 - BAT AND BALL
TCRT_0006_CHOICE2;Aufgabe 2 - Dingsbumse;Problem 2 – WIDGETS;Aufgabe 2 - Dingsbumse;Problem 2 – WIDGETS;Problem 2 – WIDGETS
TCRT_0006_CHOICE3;Problem 3 - Seerosen;Problem 3 - LILY PADS;Problem 3 - Seerosen;Problem 3 - LILY PADS;Problem 3 - LILY PADS
TCRT_0007_PROMPT;Glaubst du, dass du die richtige Antwort auf diese Probleme schon einmal gesehen hast?;Do you believe you have previously seen the correct answer to these problems;;Do you believe you have previously seen the correct answer to these problems;Do you believe you have previously seen the correct answer to these problems
TCRT_0007_CHOICE1;Ja;Yes;Ja;Yes;Yes
TCRT_0007_CHOICE2;Nein;No;Nein;No;No
TCRT_0007_CHOICE3;Weiß nicht;I don’t know;Weiß nicht;I don’t know;I don’t know