"key";"de";"en";"de_f";"it"
"TPAC_0000_PROMPT";"Fragebogen zur Sportaktivität";"Physical Activity Questionnaire";"Fragebogen zur Sportaktivität";"Physical Activity Questionnaire"
"TPAC_0001_PROMPT";"Wir versuchen herauszufinden, wie viel <b>Sport</b> du in den letzten drei Monaten gemacht hast. Das beinhaltet Sport, Tanz oder Dinge, bei denen du schwitzt und nach denen deine Beine sich müde anfühlen. Denk daran: Es gibt keine richtigen oder falschen Antworten &ndash; das ist kein Test. Bitte beantworte alle Fragen so ehrlich und exakt, wie du kannst &ndash; das ist sehr wichtig.";"We are trying to find out about your engagement with <b>sports</b> and your level of physical activity over the last three months. This includes sports or dance that make you sweat or make your legs feel tired. Remember: There are no right or wrong answers &ndash;  this is not a test. Please answer all the questions as honestly and accurately as you can &ndash;  this is very important.";"Wir versuchen herauszufinden, wie viel <b>Sport</b> du in den letzten drei Monaten gemacht hast. Das beinhaltet Sport, Tanz oder Dinge, bei denen du schwitzt und nach denen deine Beine sich müde anfühlen. Denk daran: Es gibt keine richtigen oder falschen Antworten &ndash; das ist kein Test. Bitte beantworte alle Fragen so ehrlich und exakt, wie du kannst &ndash; das ist sehr wichtig.";"We are trying to find out about your engagement with <b>sports</b> and your level of physical activity over the last three months. This includes sports or dance that make you sweat or make your legs feel tired. Remember: There are no right or wrong answers &ndash;  this is not a test. Please answer all the questions as honestly and accurately as you can &ndash;  this is very important."
"TPAC_0002_CHOICE1";"Ich habe keinen Sportunterricht.";"I don't do PE.";"Ich habe keinen Sportunterricht.";"I don't do PE."
"TPAC_0002_CHOICE2";"Selten";"Hardly ever";"Selten";"Hardly ever"
"TPAC_0002_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes"
"TPAC_0002_CHOICE4";"Oft";"Quite often";"Oft";"Quite often"
"TPAC_0002_CHOICE5";"Immer";"Always";"Immer";"Always"
"TPAC_0002_PROMPT";"Wie oft warst du während der letzten drei Monate aktiv beim Sportunterricht dabei (viel mitgespielt, gelaufen, gesprungen, geworfen)?";"In the last three months during your physical education (PE) classes, how often were you very active (playing hard, running, jumping, throwing)?";"Wie oft warst du während der letzten drei Monate aktiv beim Sportunterricht dabei (viel mitgespielt, gelaufen, gesprungen, geworfen)?";"In the last three months during your physical education (PE) classes, how often were you very active (playing hard, running, jumping, throwing)?"
"TPAC_0003_CHOICE1";"Nie";"None";"Nie";"None"
"TPAC_0003_CHOICE2";"Einmal pro Woche";"1 time per week";"Einmal pro Woche";"1 time per week"
"TPAC_0003_CHOICE3";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2- oder 3-mal pro Woche";"2 or 3 times per week"
"TPAC_0003_CHOICE4";"4-mal pro Woche";"4 times per week";"4-mal pro Woche";"4 times per week"
"TPAC_0003_CHOICE5";"5-mal pro Woche";"5 times per week";"5-mal pro Woche";"5 times per week"
"TPAC_0003_PROMPT";"Wie oft hast du in den letzten drei Monaten nach der Schule Sport gemacht oder getanzt, z. B. in einer Schul-AG?";"In the last three months, how many times per week did you do sports or dance right after school, e.g. as part of an after school club?";"Wie oft hast du in den letzten drei Monaten nach der Schule Sport gemacht oder getanzt, z. B. in einer Schul-AG?";"In the last three months, how many times per week did you do sports or dance right after school, e.g. as part of an after school club?"
"TPAC_0004_CHOICE1";"Nie";"None";"Nie";"None"
"TPAC_0004_CHOICE2";"Einmal pro Woche";"1 time per week";"Einmal pro Woche";"1 time per week"
"TPAC_0004_CHOICE3";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2- oder 3-mal pro Woche";"2 or 3 times per week"
"TPAC_0004_CHOICE4";"4- oder 5-mal pro Woche";"4 or 5 times per week";"4- oder 5-mal pro Woche";"4 or 5 times per week"
"TPAC_0004_CHOICE5";"6- oder 7-mal pro Woche";"6 or 7 times per week";"6- oder 7-mal pro Woche";"6 or 7 times per week"
"TPAC_0004_PROMPT";"An wie vielen Nachmittagen pro Woche hast du außerhalb der Schule Sport gemacht oder getanzt?";"In the last three months, how many evenings per week did you spend doing sports or dance outside school?";"An wie vielen Nachmittagen pro Woche hast du außerhalb der Schule Sport gemacht oder getanzt?";"In the last three months, how many evenings per week did you spend doing sports or dance outside school?"
"TPAC_0005_CHOICE1";"Nie";"Never";"Nie";"Never"
"TPAC_0005_CHOICE2";"An wenigen Wochenenden";"Very few weekends";"An wenigen Wochenenden";"Very few weekends"
"TPAC_0005_CHOICE3";"An einigen Wochenenden";"Some weekends";"An einigen Wochenenden";"Some weekends"
"TPAC_0005_CHOICE4";"An den meisten Wochenenden";"Most weekends";"An den meisten Wochenenden";"Most weekends"
"TPAC_0005_CHOICE5";"Jedes Wochenende";"Every weekend";"Jedes Wochenende";"Every weekend"
"TPAC_0005_PROMPT";"Wie oft hast du in den letzten drei Monaten am Wochenende Sport gemacht oder getanzt?";"In the last three months, how often did you do sports or dance on weekends?";"Wie oft hast du in den letzten drei Monaten am Wochenende Sport gemacht oder getanzt?";"In the last three months, how often did you do sports or dance on weekends?"
"TPAC_0006_CHOICE1";"Nie";"Not at all";"Nie";"Not at all"
"TPAC_0006_CHOICE2";"Manchmal (1- bis 2-mal pro Woche)";"Sometimes (1-2 times a week)";"Manchmal (1- bis 2-mal pro Woche)";"Sometimes (1-2 times a week)"
"TPAC_0006_CHOICE3";"Öfters (3- bis 4-mal pro Woche)";"Often (3-4 times a week)";"Öfters (3- bis 4-mal pro Woche)";"Often (3-4 times a week)"
"TPAC_0006_CHOICE4";"Recht oft (5- bis 6-mal pro Woche)";"Quite often (5-6 times a week)";"Recht oft (5- bis 6-mal pro Woche)";"Quite often (5-6 times a week)"
"TPAC_0006_CHOICE5";"Sehr oft (7-mal oder mehr pro Woche)";"Very often (7 or more times a week)";"Sehr oft (7-mal oder mehr pro Woche)";"Very often (7 or more times a week)"
"TPAC_0006_PROMPT";"Wie oft hast du in den letzten drei Monaten in deiner Freizeit Sport gemacht, getanzt, Spiele gespielt etc.?";"In the last three months, I spent my free time doing sports, dance or playing games …";"Wie oft hast du in den letzten drei Monaten in deiner Freizeit Sport gemacht, getanzt, Spiele gespielt etc.?";"In the last three months, I spent my free time doing sports, dance or playing games …"
