"key";"en";"de";"de_f";"es"
"TQHC_0000_PROMPT";"Quick Hearing Check";"Kurzer Hörcheck";"Kurzer Hörcheck";"Quick Hearing Check"
"TQHC_0001_PROMPT";"With respect to your hearing, please indicate your (dis)agreement to the following statements.";"Bitte gib an, inwieweit du den folgenden Aussagen zu deinem Hörvermögen zustimmst.";"Bitte gib an, inwieweit du den folgenden Aussagen zu deinem Hörvermögen zustimmst.";"With respect to your hearing, please indicate your (dis)agreement to the following statements."
"TQHC_0002_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0002_CHOICE2";"1";"1";"1";"1"
"TQHC_0002_CHOICE3";"2";"2";"2";"2"
"TQHC_0002_CHOICE4";"3";"3";"3";"3"
"TQHC_0002_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0002_PROMPT";"I have a problem hearing over the telephone.";"Ich habe Probleme beim Verstehen von Telefonaten.";"Ich habe Probleme beim Verstehen von Telefonaten.";"I have a problem hearing over the telephone."
"TQHC_0003_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0003_CHOICE2";"1";"1";"1";"1"
"TQHC_0003_CHOICE3";"2";"2";"2";"2"
"TQHC_0003_CHOICE4";"3";"3";"3";"3"
"TQHC_0003_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0003_PROMPT";"I have trouble following the conversation when two or more people are talking at the same time.";"Ich habe Schwierigkeiten, einer Unterhaltung zu folgen, wenn zwei oder mehr Personen gleichzeitig reden.";"Ich habe Schwierigkeiten, einer Unterhaltung zu folgen, wenn zwei oder mehr Personen gleichzeitig reden.";"I have trouble following the conversation when two or more people are talking at the same time."
"TQHC_0004_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0004_CHOICE2";"1";"1";"1";"1"
"TQHC_0004_CHOICE3";"2";"2";"2";"2"
"TQHC_0004_CHOICE4";"3";"3";"3";"3"
"TQHC_0004_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0004_PROMPT";"I have trouble understanding things on TV.";"Ich habe Schwierigkeiten, Dinge im Fernsehen zu verstehen.";"Ich habe Schwierigkeiten, Dinge im Fernsehen zu verstehen.";"I have trouble understanding things on TV."
"TQHC_0005_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0005_CHOICE2";"1";"1";"1";"1"
"TQHC_0005_CHOICE3";"2";"2";"2";"2"
"TQHC_0005_CHOICE4";"3";"3";"3";"3"
"TQHC_0005_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0005_PROMPT";"I have to strain to understand conversations.";"Ich muss mich anstrengen, um Gesprächen folgen zu können.";"Ich muss mich anstrengen, um Gesprächen folgen zu können.";"I have to strain to understand conversations."
"TQHC_0006_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0006_CHOICE2";"1";"1";"1";"1"
"TQHC_0006_CHOICE3";"2";"2";"2";"2"
"TQHC_0006_CHOICE4";"3";"3";"3";"3"
"TQHC_0006_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0006_PROMPT";"I have to worry about missing a telephone ring or doorbell.";"Es macht mir Sorgen, das Klingeln des Telefons oder der Türklingel zu verpassen.";"Es macht mir Sorgen, das Klingeln des Telefons oder der Türklingel zu verpassen.";"I have to worry about missing a telephone ring or doorbell."
"TQHC_0007_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0007_CHOICE2";"1";"1";"1";"1"
"TQHC_0007_CHOICE3";"2";"2";"2";"2"
"TQHC_0007_CHOICE4";"3";"3";"3";"3"
"TQHC_0007_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0007_PROMPT";"I have trouble hearing conversations in a noisy background such as a crowded room or restaurant.";"Ich habe Schwierigkeiten, Gesprächen bei Hintergrundgeräuschen, wie in einem vollen Raum oder Restaurant, folgen zu können.";"Ich habe Schwierigkeiten, Gesprächen bei Hintergrundgeräuschen, wie in einem vollen Raum oder Restaurant, folgen zu können.";"I have trouble hearing conversations in a noisy background such as a crowded room or restaurant."
"TQHC_0008_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0008_CHOICE2";"1";"1";"1";"1"
"TQHC_0008_CHOICE3";"2";"2";"2";"2"
"TQHC_0008_CHOICE4";"3";"3";"3";"3"
"TQHC_0008_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0008_PROMPT";"I get confused about where sounds come from.";"Ich bin mir unsicher, aus welcher Richtung Geräusche kommen.";"Ich bin mir unsicher, aus welcher Richtung Geräusche kommen.";"I get confused about where sounds come from."
"TQHC_0009_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0009_CHOICE2";"1";"1";"1";"1"
"TQHC_0009_CHOICE3";"2";"2";"2";"2"
"TQHC_0009_CHOICE4";"3";"3";"3";"3"
"TQHC_0009_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0009_PROMPT";"I misunderstand some words in a sentence and need to ask people to repeat themselves.";"Ich verstehe einige Wörter in einem Satz falsch und muss Leute um Wiederholung bitten.";"Ich verstehe einige Wörter in einem Satz falsch und muss Leute um Wiederholung bitten.";"I misunderstand some words in a sentence and need to ask people to repeat themselves."
"TQHC_0010_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0010_CHOICE2";"1";"1";"1";"1"
"TQHC_0010_CHOICE3";"2";"2";"2";"2"
"TQHC_0010_CHOICE4";"3";"3";"3";"3"
"TQHC_0010_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0010_PROMPT";"I especially have trouble understanding the speech of women and children.";"Es fällt mir besonders schwer, die Sprache von Frauen und Kindern zu verstehen.";"Es fällt mir besonders schwer, die Sprache von Frauen und Kindern zu verstehen.";"I especially have trouble understanding the speech of women and children."
"TQHC_0011_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0011_CHOICE2";"1";"1";"1";"1"
"TQHC_0011_CHOICE3";"2";"2";"2";"2"
"TQHC_0011_CHOICE4";"3";"3";"3";"3"
"TQHC_0011_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0011_PROMPT";"I have trouble understanding the speaker in a large room such as at a meeting or place of worship.";"Ich habe Schwierigkeiten, Sprecher in einem großen Raum wie in einem Vortragsraum oder einer Kirche, zu verstehen.";"Ich habe Schwierigkeiten, Sprecher in einem großen Raum wie in einem Vortragsraum oder einer Kirche, zu verstehen.";"I have trouble understanding the speaker in a large room such as at a meeting or place of worship."
"TQHC_0012_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0012_CHOICE2";"1";"1";"1";"1"
"TQHC_0012_CHOICE3";"2";"2";"2";"2"
"TQHC_0012_CHOICE4";"3";"3";"3";"3"
"TQHC_0012_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0012_PROMPT";"Many people I talk to seem to mumble (or don't speak clearly).";"Viele Leute, mit denen ich rede, scheinen zu <q>nuscheln</q> (oder sprechen nicht klar).";"Viele Leute, mit denen ich rede, scheinen zu <q>nuscheln</q> (oder sprechen nicht klar).";"Many people I talk to seem to mumble (or don't speak clearly)."
"TQHC_0013_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0013_CHOICE2";"1";"1";"1";"1"
"TQHC_0013_CHOICE3";"2";"2";"2";"2"
"TQHC_0013_CHOICE4";"3";"3";"3";"3"
"TQHC_0013_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0013_PROMPT";"People get annoyed because I misunderstand what they say.";"Leute sind verärgert, weil ich sie falsch verstanden habe.";"Leute sind verärgert, weil ich sie falsch verstanden habe.";"People get annoyed because I misunderstand what they say."
"TQHC_0014_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0014_CHOICE2";"1";"1";"1";"1"
"TQHC_0014_CHOICE3";"2";"2";"2";"2"
"TQHC_0014_CHOICE4";"3";"3";"3";"3"
"TQHC_0014_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0014_PROMPT";"I misunderstand what others are saying and make inappropriate responses.";"Ich verstehe falsch, was andere sagen, und gebe unpassende Antworten.";"Ich verstehe falsch, was andere sagen, und gebe unpassende Antworten.";"I misunderstand what others are saying and make inappropriate responses."
"TQHC_0015_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0015_CHOICE2";"1";"1";"1";"1"
"TQHC_0015_CHOICE3";"2";"2";"2";"2"
"TQHC_0015_CHOICE4";"3";"3";"3";"3"
"TQHC_0015_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0015_PROMPT";"I avoid social activities because I cannot hear well and fear I will reply improperly.";"Ich vermeide soziale Aktivitäten, weil ich nicht gut höre und befürchte, dass ich unpassend antworte.";"Ich vermeide soziale Aktivitäten, weil ich nicht gut höre und befürchte, dass ich unpassend antworte.";"I avoid social activities because I cannot hear well and fear I will reply improperly."
"TQHC_0016_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0016_CHOICE2";"1";"1";"1";"1"
"TQHC_0016_CHOICE3";"2";"2";"2";"2"
"TQHC_0016_CHOICE4";"3";"3";"3";"3"
"TQHC_0016_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0016_PROMPT";"Family members and friends have told me they think I may have a hearing loss.";"Familienmitglieder und Freunde haben mir gesagt, dass sie glauben, mein Hörvermögen könnte vermindert sein.";"Familienmitglieder und Freunde haben mir gesagt, dass sie glauben, mein Hörvermögen könnte vermindert sein.";"Family members and friends have told me they think I may have a hearing loss."
