key;de;en;de_f;it;es;lv
TSES_0000_PROMPT;Inventar zur Selbsteinschätzung des sozialen Status;Socio-Economic Status Inventory;Inventar zur Selbsteinschätzung des sozialen Status;Indice dello Status Socio-economico;Socio-Economic Status Inventory;Sociāli ekonomiskā statusaaptauja
TSES_0001_CHOICE1;Keinen Schulabschluss;Did not complete any school qualification;Keinen Schulabschluss;Non ha conseguito alcun titolo di studio;Did not complete any school qualification;Nav iegūta izglītība
TSES_0001_CHOICE2;Haupt- oder Realschulabschluss;Completed GCSE/Junior High School;Haupt- oder Realschulabschluss;Ha conseguito un diploma di istruzione secondaria / scuola secondaria inferiore;Completed GCSE/Junior High School;Pamatizglītība
TSES_0001_CHOICE3;Berufsausbildung;Completed vocational course;Berufsausbildung;Ha conseguito il titolo di un corso professionale;Completed vocational course;Arodizglītība
TSES_0001_CHOICE4;Fachhochschulreife oder Abitur;Completed A Levels/High School;Fachhochschulreife oder Abitur;Ha conseguito il diploma di scuola superiore;Completed A Levels/High School;Vidējā izglītība vai profesionālā vidējā izglītība
TSES_0001_CHOICE5;Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Undergraduate university degree or professional qualification (i.e. 3 years at university);Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Laurea triennale o qualifica professionale (cioè 3 anni di università);Undergraduate university degree or professional qualification (i.e. 3 years at university);Bakalaura grāds
TSES_0001_CHOICE6;Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Postgraduate university degree (i.e. 4 or 5 years at university);Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Titolo universitario post-laurea (cioè 4 o 5 anni di università);Postgraduate university degree (i.e. 4 or 5 years at university);Maģistra vai doktora grāds
TSES_0001_CHOICE7;Weiß ich nicht;I don't know;Weiß ich nicht;Non lo so;I don't know;Nezinu
TSES_0001_PROMPT;Welchen höchsten Bildungsabschluss hat deine Mutter?;What is the highest educational level that your mother has achieved?;Welchen höchsten Bildungsabschluss hat Ihre  Mutter?;Qual è il titolo più alto che ha conseguito la madre?;What is the highest educational level that your mother has achieved?;Kāds ir augstākais izglītības līmenis, ko tava māte ir ieguvusi?
TSES_0002_CHOICE1;Keinen Schulabschluss;Did not complete any school qualification;Keinen Schulabschluss;Non ha conseguito alcun titolo di studio;Did not complete any school qualification;Nav iegūta izglītība
TSES_0002_CHOICE2;Haupt- oder Realschulabschluss;Completed GCSE/Junior High School;Haupt- oder Realschulabschluss;Ha conseguito un diploma di istruzione secondaria / scuola secondaria inferiore;Completed GCSE/Junior High School;Pamatizglītība
TSES_0002_CHOICE3;Berufsausbildung;Completed vocational course;Berufsausbildung;Ha conseguito il titolo di un corso professionale;Completed vocational course;Arodizglītība
TSES_0002_CHOICE4;Fachhochschulreife oder Abitur;Completed A Levels/High School;Fachhochschulreife oder Abitur;Ha conseguito il diploma di scuola superiore;Completed A Levels/High School;Vidējā izglītība vai profesionālā vidējā izglītība
TSES_0002_CHOICE5;Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Undergraduate university degree or professional qualification (i.e. 3 years at university);Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Laurea triennale o qualifica professionale (cioè 3 anni di università);Undergraduate university degree or professional qualification (i.e. 3 years at university);Bakalaura grāds
TSES_0002_CHOICE6;Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Postgraduate university degree (i.e. 4 or 5 years at university);Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Titolo universitario post-laurea (cioè 4 o 5 anni di università);Postgraduate university degree (i.e. 4 or 5 years at university);Maģistra vai doktora grāds
TSES_0002_CHOICE7;Weiß ich nicht;I don't know;Weiß ich nicht;Non lo so;I don't know;Nezinu
TSES_0002_PROMPT;Welchen höchsten Bildungsabschluss hat dein Vater?;What is the highest educational level that your father has achieved?;Welchen höchsten Bildungsabschluss hat Ihr Vater?;Qual è il titolo più alto che ha conseguito il padre?;What is the highest educational level that your father has achieved?;Kāds ir augstākais izglītības līmenis, ko tavs tēvs ir ieguvis?
TSES_0003_PROMPT;Bitte beantworte die nächsten Fragen für den/die HauptverdienerIn in deinem Haushalt. Der/die HauptverdienerIn ist die Person in deinem Haushalt, die zum Großteil dafür verantwortlich ist, die Miete oder den Kredit zu zahlen. Wenn dafür mehrere Personen verantwortlich sind, wähle die Person, die mehr verdient. Sollten zwei Personen gleich viel verdienen, wähle die ältere Person. Arbeitet die höchstverdienende Person im Moment nicht, beantworte die Frage gemäß der letzten Arbeitsstelle.;Please answer the following questions regarding the main earner in your household. The main earner is the person in your household that is mainly responsible for paying the rent or mortgage. If there is joint responsibility for paying the rent or mortgage, please choose the person with the highest income as the main earner. (If incomes are similar, then choose the older person). If the main earner does not currently work, please answer the questions thinking about their last job.;Bitte beantworten Sie die nächsten Fragen für den/die HauptverdienerIn in Ihrem Haushalt. Der/die HauptverdienerIn ist die Person in Ihrem Haushalt, die zum Großteil dafür verantwortlich ist, die Miete oder Kredite zu zahlen. Wenn dafür mehrere Personen verantwortlich sind, wählen Sie bitte die Person, die mehr verdient. Sollten zwei Personen gleich viel verdienen, wählen Sie bitte die ältere Person. Arbeitet die höchstverdienende Person im Moment nicht, beantworten Sie bitte die Frage gemäß der letzten Arbeitsstelle.;Rispondi alle seguenti domande riguardanti il percettore principale della tua famiglia. Il percettore principale è la persona della tua famiglia che è principalmente responsabile del pagamento dell'affitto o del mutuo. Se c'è una responsabilità congiunta per il pagamento dell'affitto o del mutuo, si prega di scegliere la persona con il reddito più alto come principale percettore. (Se i redditi sono simili, scegli la persona più anziana). Se il principale percettore non lavora attualmente, rispondi alle domande pensando al suo ultimo lavoro.;Please answer the following questions regarding the main earner in your household. The main earner is the person in your household that is mainly responsible for paying the rent or mortgage. If there is joint responsibility for paying the rent or mortgage, please choose the person with the highest income as the main earner. (If incomes are similar, then choose the older person). If the main earner does not currently work, please answer the questions thinking about their last job.;Lūdzu, atbildi uz jautājumiem par galveno pelnītāju tavā ģimenē. Galvenais pelnītājs ir cilvēks tavā ģimenē, kurš maksā par īri vai hipotēku. Ja ir dalīta atbildība par īri vai hipotēku, tad izvēlies cilvēku ar lielākiem ienākumiem. Ja ienākumi ir līdzīgi, tad izvēlies vecāko cilvēku. Ja galvenajam pelnītājam pašlaik nav darba, tad atbildot ņem vērā viņa pēdējo darbavietu.
TSES_0004_CHOICE1;Arbeitnehmer (ArbeiterIn, AngestellteR, Beamte/-in etc.);Employee;Arbeitnehmer (ArbeiterIn, AngestellteR, Beamte/-in etc.);Dipendente;Employee;Algots darbinieks
TSES_0004_CHOICE2;Freiberuflich tätig mit Angestellten;Self-employed with employees;Freiberuflich tätig mit Angestellten;Lavoratore autonomo con dipendenti;Self-employed with employees;Pašnodarbinātā persona ar algotiem darbiniekm
TSES_0004_CHOICE3;Freiberuflich/freieR MitarbeiterIn ohne Angestellte;Self-employed/freelance without employees;Freiberuflich/freieR MitarbeiterIn ohne Angestellte;Lavoratore autonomo/freelance senza dipendenti;Self-employed/freelance without employees;Pašnodarbinātā persona bez algotiem darbiniekiem
TSES_0004_PROMPT;Ist die Person angestellt oder freiberuflich tätig?;Does the main earner work as an employee or is the main earner self-employed?;Ist die Person angestellt oder freiberuflich tätig?;Il percettore principale lavora come dipendente o come lavoratore autonomo?;Does the main earner work as an employee or is the main earner self-employed?;Vai galvenais pelnītājs ir algots darbinieks vai pašnodarbinātais?
TSES_0005_CHOICE1;1 bis 9 Angestellte;1 to 24;1 bis 9 Angestellte;Da 1 a 24;1 to 24;1 līdz 24
TSES_0005_CHOICE2;10 oder mehr Angestellte;25 or more;10 oder mehr Angestellte;25 o più;25 or more;25 vai vairāk
TSES_0005_PROMPT;Wie viele Personen arbeiten für die Person?;How many people does the main earner employ?;Wie viele Personen arbeiten für die Person?;Quanti dipendenti ha il percettore principale?;How many people does the main earner employ?;Cik daudz cilvēku galvenais pelnītājs nodarbina?
TSES_0006_CHOICE1;Ja;Yes;Ja;Sì;Yes;jā
TSES_0006_CHOICE2;Nein;No;Nein;No;No;nē
TSES_0006_PROMPT;Betreut die Person andere Angestellte? (Z. B. ein Abteilungsleiter oder Vorarbeiter ist verantwortlich für andere Arbeitnehmer.);Does the main earner supervise any other employees? (A supervisor or foreman is responsible for overseeing the work of other employees on a day-to-day basis.);Betreut die Person andere Angestellte? (Z. B. ein Abteilungsleiter oder Vorarbeiter ist verantwortlich für andere Arbeitnehmer.);Il principale percettore supervisiona altri dipendenti? (Un supervisore o un caposquadra è responsabile della supervisione del lavoro degli altri dipendenti su base giornaliera.);Does the main earner supervise any other employees? (A supervisor or foreman is responsible for overseeing the work of other employees on a day-to-day basis.);Vai galvenais pelnītājs vada citus darbiniekus? (vadītājs ikdienā ir atbildīgs par citu darbinieku pārraudzību)
TSES_0007_CHOICE1;Moderne Berufe (z. B. LehrerIn, Krankenschwester, PhysiotherapeutIn, SozialarbeiterIn, KünstlerIn, MusikerIn, Software DesignerIn, Beamter/-in im gehobenen Dienst);Modern professional occupations (such as teacher, nurse, physiotherapist, social worker, welfare officer, artist, musician, police officer (sergeant or above), software designer);Moderne Berufe (z. B. LehrerIn, Krankenschwester, PhysiotherapeutIn, SozialarbeiterIn, KünstlerIn, MusikerIn, Software DesignerIn, Beamter/-in im gehobenen Dienst);Occupazioni professionali moderne (come insegnante, infermiere, fisioterapista, assistente sociale, funzionario dell'assistenza sociale, artista, musicista, agente di polizia (sergente o superiore), progettista di software);Modern professional occupations (such as teacher, nurse, physiotherapist, social worker, welfare officer, artist, musician, police officer (sergeant or above), software designer);Galvenais pelnītājs iesaistīts iestādes, uzņēmuma, firmas vadības darbā
TSES_0007_CHOICE2;Angestellte und mittlere Berufe (z. B. SekretärIn, VerwaltungsangestellteR, SachbearbeiterIn, PflegerIn, Beamter/-in im mittleren Dienst, telefonischer Kundendienst);Clerical and intermediate occupations (such as secretary, personal assistant, clerical worker, office clerk, call centre agent, nursing auxiliary, nursery nurse);Angestellte und mittlere Berufe (z. B. SekretärIn, VerwaltungsangestellteR, SachbearbeiterIn, PflegerIn, Beamter/-in im mittleren Dienst, telefonischer Kundendienst);Occupazioni impiegatizie e intermedie (come segretaria, assistente personale, impiegato, impiegato d'ufficio, agente di call center, ausiliario infermieristico, infermiera d'asilo);Clerical and intermediate occupations (such as secretary, personal assistant, clerical worker, office clerk, call centre agent, nursing auxiliary, nursery nurse);Galvenais pelnītājs ir speciālists zinātnē, veselības aprūpē, izglītībā, juridiskajās, sociālajās, kultūras, informācijas tehnoloģiju vai pārvaldes administrācijas lietās
TSES_0007_CHOICE3;Senior Management oder Verwaltung (z. B. zuständig für Planung, Organisation und Koordination sowie Finanzangelegenheiten, LeiterIn einer Firma, DirektorIn einer Abteilung);Senior managers or administrators (usually responsible for planning, organising and co-ordinating work, and for finance, such as: finance manager, manager of own business, chief executive, managing director);Senior Management oder Verwaltung (z. B. zuständig für Planung, Organisation und Koordination sowie Finanzangelegenheiten, LeiterIn einer Firma, DirektorIn einer Abteilung);Dirigenti o amministratori (di solito responsabili della pianificazione, organizzazione e coordinamento del lavoro, e delle finanze, come: direttore finanziario, responsabile della propria attività, amministratore delegato, amministratore delegato);Senior managers or administrators (usually responsible for planning, organising and co-ordinating work, and for finance, such as: finance manager, manager of own business, chief executive, managing director);Galvenais pelnītājs nodarbināts komunikācijas, sabiedrisko attiecību jomā
TSES_0007_CHOICE4;Technische und handwerkliche Berufe (z. B. MechanikerIn, EinrichterIn, InspekteurIn, ElektrikerIn, GärtnerIn, LandwirtIn, ZugführerIn, VorarbeiterIn);Technical and craft occupations (such as motor mechanic, fitter, inspector, plumber, printer, tool maker, electrician, gardener, train driver);Technische und handwerkliche Berufe (z. B. MechanikerIn, EinrichterIn, InspekteurIn, ElektrikerIn, GärtnerIn, LandwirtIn, ZugführerIn, VorarbeiterIn);Professioni tecniche e artigianali (come meccanico, montatore, ispettore, idraulico, tipografo, attrezzista, elettricista, giardiniere, macchinista);Technical and craft occupations (such as motor mechanic, fitter, inspector, plumber, printer, tool maker, electrician, gardener, train driver);Galvenais pelnītājs apkalpo klientus, sniedz pakalpojumus, nodarbināts tirdzniecībā, aprūpē vai apsardzē
TSES_0007_CHOICE5;Angelernte Berufe und Diensleistungsberufe (z. B. PostangestellteR, KindergärtnerIn, Landwirtschaftsgehilfe/-in, RezeptionistIn, VerkäuferIn, mithelfendeR FamilienangehörigeR, Beamter/-in im einfachen Dienst);Semi-routine manual and service occupations (such as postal worker, machine operative, security guard, caretaker, farm worker, catering assistant, receptionist, sales assistant);Angelernte Berufe und Diensleistungsberufe (z. B. PostangestellteR, KindergärtnerIn, Landwirtschaftsgehilfe/-in, RezeptionistIn, VerkäuferIn, mithelfendeR FamilienangehörigeR, Beamter/-in im einfachen Dienst);Mestieri manuali e di servizio semi-routinari (come impiegato delle poste, addetto alle macchine, guardia giurata, custode, bracciante agricolo, assistente alla ristorazione, receptionist, assistente alle vendite);Semi-routine manual and service occupations (such as postal worker, machine operative, security guard, caretaker, farm worker, catering assistant, receptionist, sales assistant);Galvenais pelnītājs nodarbināts lauksaimniecībā, mežsaimniecībā, zivsaimniecībā
TSES_0007_CHOICE6;Einfache Arbeiter- und Diensleistungsberufe (z. B. Reinigungskraft, PortierIn, SchneiderIn, KellnerIn, Barista);Routine manual and service occupations (such as HGV driver, van driver, cleaner, porter, packer, sewing machinist, messenger, labourer, waiter/waitress, bar staff);Einfache Arbeiter- und Diensleistungsberufe (z. B. Reinigungskraft, PortierIn, SchneiderIn, KellnerIn, Barista);Attività manuali e di servizio di routine (come autista di mezzi pesanti, autista di furgoni, addetto alle pulizie, facchino, imballatore, cucitrice, fattorino, operaio, cameriere/a, personale di bar);Routine manual and service occupations (such as HGV driver, van driver, cleaner, porter, packer, sewing machinist, messenger, labourer, waiter/waitress, bar staff);Galvenais pelnītājs pilda strādnieka vai amatnieka darbu
TSES_0007_CHOICE7;Mittleres oder Junior Management (z. B. BüroleiterIn, BankdirektorIn, RestaurantleiterIn, AbteilungsleiterIn, LogistikmanagerIn, VerkaufsleiterIn);Middle or junior managers (such as office manager, retail manager, bank manager, restaurant manager, warehouse manager, publican);Mittleres oder Junior Management (z. B. BüroleiterIn, BankdirektorIn, RestaurantleiterIn, AbteilungsleiterIn, LogistikmanagerIn, VerkaufsleiterIn);Medi o piccoli manager (come capo ufficio, direttore commerciale, direttore di banca, direttore di ristorante, responsabile di magazzino, gestore);Middle or junior managers (such as office manager, retail manager, bank manager, restaurant manager, warehouse manager, publican);Galvenā pelnītāja darbs saistīts ar mašīnu vadību vai iekārtu montēšanu
TSES_0007_CHOICE8;Traditionelle Fachberufe (z. B. SteuerberaterIn, Rechtsanwalt/-anwältin, Arzt/Ärztin, WissenschaftlerIn, IngeneurIn, Beamter/-in im höheren Dienst);Traditional professional occupations (such as accountant, lawyer, doctor, medical practitioner, scientist, civil/mechanical engineer);Traditionelle Fachberufe (z. B. SteuerberaterIn, Rechtsanwalt/-anwältin, Arzt/Ärztin, WissenschaftlerIn, IngeneurIn, Beamter/-in im höheren Dienst);Occupazioni professionali tradizionali (come contabile, avvocato, medico, medico generico, scienziato, ingegnere civile/meccanico);Traditional professional occupations (such as accountant, lawyer, doctor, medical practitioner, scientist, civil/mechanical engineer);Galvenais pelnītājs veic telpu, apkārtnes apkopšanas darbus, ir palīgstrādnieks vai ielu strādnieks
TSES_0007_PROMPT;Bitte kreuze nun an, welche Beschreibung am besten auf den Beruf der Person zutrifft. Arbeitet die Person im Moment nicht, dann denke an die letzte Arbeitsstelle.;Please tick one box only to best describe the work the main earner does. If the main earner is not currently working, please tick the box that best describes what his/her last job was.;Bitte kreuzen Sie nun an, welche Beschreibung am besten auf den Beruf der Person zutrifft. Arbeitet die Person im Moment nicht, dann denken Sie bitte an die letzte Arbeitsstelle.;Si prega di barrare una sola casella per descrivere al meglio il lavoro svolto dal principale percettore. Se il principale percettore non lavora attualmente, spunta la casella che meglio descrive quale è stato il suo ultimo lavoro.;Please tick one box only to best describe the work the main earner does. If the main earner is not currently working, please tick the box that best describes what his/her last job was.;Atzīmē tikai vienu atbildi, kas vislabāk raksturo jomu, kurā darbojas galvenais pelnītājs. Ja galvenais pelnītājs pašlaik nestrādā, tad atzīmē to jomu, kas vislabāk raksturo viņa pēdējo darbavietu.
